Unnamed: 0,Unnamed: 1
,
Row Labels,Count of name
Air purifier plant,11
Bamboo,38
Bonsai,19
Creepers and Climbers,2
Flower,86
Foliage,31
Fruit,112
Herb,45
Shrub,19
Succulent,26
Tree,10
Vegetable,1
Grand Total,400
