name,original price,special price,discount,plant size,return policy,type,life cycle,location,feng shui,plant age,hybride,brand
"Agriclons and nusary Bryophyllum Pinnatum/Patharchatta Plant  (Hybrid, Pack of 1)",499.00, ₹125.00 ,74%,Small,No Returns Allowed?,Herb,Annual,Both,No,0.60,Yes,Agriclons and nusary
"PLANTTOOZS Elaichi/Cardamom Plant  (Hybrid, Pack of 1)",499.00, ₹122.00 ,75%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,1.00,Yes,PLANTTOOZS
"Laxmi kamal plant Laxmi Kamal Plant  (Hybrid, Pack of 2)",890.00, ₹144.00 ,83%,Medium,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,Laxmi kamal plant
"LaughEarth Peace Lily Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,72%,Medium,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,LaughEarth
"MIDNIGHT MORNING Rose Plant  (Hybrid, Pack of 1)",399.00, ₹122.00 ,69%,Medium,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,MIDNIGHT MORNING
"Tigress Tulsi Plant  (Hybrid, Pack of 1)",190.00, ₹135.00 ,28%,Medium,No Returns Allowed?,Flower,Annual,Both,No,1.00,Yes,Tigress
"JESAA GREENS Jade Plant, Money Plant, Snake Plant, Two Layer Bamboo Plant, Syngonium Bronze Maria Plant  (Pack of 5)",1599.00, ₹749.00 ,53%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,No,2.00,No,JESAA GREENS
MAHAMAYA A TO Z Water Pennywort  (Pack of 2),1033.00, ₹139.00 ,86%,Small,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,No,MAHAMAYA A TO Z
"greenhousestore Grapes Plant  (Hybrid, Pack of 1)",599.00, ₹127.00 ,78%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Gabbro Jade Plant  (Hybrid, Pack of 1)",699.00, ₹199.00 ,71%,Medium,No Returns Allowed?,Succulent,Perennial,Both,Yes,10.00,Yes,Gabbro
"Axotic Diamond Grafted Apple Plant  (Hybrid, Pack of 1)",349.00, ₹122.00 ,65%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Axotic Diamond Grafted
"Global Mart Plant Bougainvillea Plant  (Hybrid, Pack of 1)",399.00, ₹157.00 ,60%,Medium,No Returns Allowed?,Flower,Perennial,Both,Yes,1.00,Yes,Global Mart Plant
Risenshine Bryophyllum Pinnatum/Patharchatta Plant  (Pack of 1),599.00, ₹113.00 ,81%,Medium,No Returns Allowed?,Shrub,Perennial,Both,Yes,1.00,No,Risenshine
"greenhousestore Bougainvillea Plant  (Hybrid, Pack of 1)",599.00, ₹125.00 ,79%,Small,No Returns Allowed?,Shrub,Annual,Both,Yes,1.00,Yes,greenhousestore
UGAOO Golden Money Plant  (Pack of 1),349.00, ₹189.00 ,45%,Small,No Returns Allowed?,Shrub,Annual,Indoor,No,1.00,No,UGAOO
"bhowmick Areca Palm  (Hybrid, Pack of 1)",599.00, ₹169.00 ,71%,Medium,No Returns Allowed?,Tree,Perennial,Both,No,1.00,Yes,bhowmick
HARIGURU All Spice Plant  (Pack of 1),299.00, ₹185.00 ,38%,Medium,No Returns Allowed?,Herb,Biennial,Both,No,0.50,No,HARIGURU
"AloGardening Adenium Plant  (Hybrid, Pack of 2)",489.00, ₹189.00 ,61%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,AloGardening
"Mohomaya Sweet Lemon Plant  (Hybrid, Pack of 1)",299.00, ₹115.00 ,61%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Mohomaya
"bhowmick Baugainvillea Plant  (Hybrid, Pack of 1)",499.00, ₹134.00 ,73%,Medium,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,bhowmick
"My Dream Nursery Black Pepper Plant  (Hybrid, Pack of 1)",200.00, ₹149.00 ,25%,Small,No Returns Allowed?,Fruit,Perennial,Both,Yes,1.00,Yes,My Dream Nursery
"AloGardening Adenium Plant  (Hybrid, Pack of 6)",789.00, ₹270.00 ,65%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,AloGardening
"RudraECOM Hibiscus Plant  (Hybrid, Pack of 1)",499.00, ₹125.00 ,74%,Medium,No Returns Allowed?,Flower,Perennial,Both,Yes,0.20,Yes,RudraECOM
"MAHAMAYA A TO Z Mimosa pudica Plant  (Hybrid, Pack of 1)",1000.00, ₹143.00 ,85%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,1.00,Yes,MAHAMAYA A TO Z
"Aquinnah Almond Plant  (Hybrid, Pack of 1)",499.00, ₹159.00 ,68%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Aquinnah
"Gabbro Two Layer Bamboo Plant  (Hybrid, Pack of 1)",999.00, ₹299.00 ,70%,Medium,No Returns Allowed?,Bamboo,Perennial,Indoor,Yes,10.00,Yes,Gabbro
"Heaven Of Saplings Areca Palm  (Hybrid, Pack of 1)",200.00, ₹135.00 ,32%,Small,No Returns Allowed?,Bamboo,Perennial,Both,Yes,0.60,Yes,Heaven Of Saplings
"SKDIYA Cherry Fruit Plant  (Hybrid, Pack of 1)",595.00, ₹137.00 ,76%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,SKDIYA
UGAOO Peace Lily Plant  (Pack of 1),599.00, ₹299.00 ,50%,Small,No Returns Allowed?,Shrub,Biennial,Indoor,No,1.00,No,UGAOO
ZOOMGREEN Areca Palm  (Pack of 1),499.00, ₹129.00 ,74%,Medium,No Returns Allowed?,Bonsai,Annual,Indoor,No,1.00,No,ZOOMGREEN
ADA Shami/Jand Plant  (Pack of 1),449.00, ₹125.00 ,72%,Medium,No Returns Allowed?,Tree,Perennial,Both,No,1.00,No,ADA
"Green view Coconut Plant  (Hybrid, Pack of 1)",425.00, ₹275.00 ,35%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
PlantsBazaar Rubber Tree  (Pack of 1),499.00, ₹145.00 ,70%,Small,No Returns Allowed?,Foliage,Perennial,Indoor,No,1.00,No,PlantsBazaar
"SANJU Strawberry Plant  (Hybrid, Pack of 1)",299.00, ₹119.00 ,60%,Small,No Returns Allowed?,Fruit,Annual,Both,No,1.00,Yes,SANJU
"Aquinnah Graden Pistachio Plant  (Hybrid, Pack of 1)",489.00, ₹145.00 ,70%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Aquinnah Graden
"sspykrts Clove Plant  (Hybrid, Pack of 3)",599.00, ₹126.00 ,78%,Small,No Returns Allowed?,Tree,Annual,Both,No,1.00,Yes,sspykrts
"Ukanda Bay Leaf Plant  (Hybrid, Pack of 1)",299.00, ₹124.00 ,58%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,1.00,Yes,Ukanda
"Green view Coconut Plant  (Hybrid, Pack of 1)",625.00, ₹298.00 ,52%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
PLANTTOOZS Red Sandalwood Plant  (Pack of 1),625.00, ₹122.00 ,80%,Small,No Returns Allowed?,Shrub,Annual,Both,No,1.00,No,PLANTTOOZS
