Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
original price,discount,special price,,,,
199,0.36,127,,,,
399,0.64,140,,,,
350,0.65,120,,,,
499,0.75,122,,,,
400,0.61,153,,,,
386,0.67,125,,,,
599,0.78,130,,,,
449,0.44,249,,,,
1500,0.91,125,,,,
489,0.73,128,,,,
399,0.63,147,,,,
349,0.37,219,,,,
599,0.79,125,,,,
699,0.83,118,,,,
442,0.71,127,,,,
499,0.72,135,,,,
499,0.74,126,,,,
499,0.74,125,,,,
499,0.75,122,,,,
890,0.83,144,,,,
499,0.72,135,,,,
399,0.69,122,,,,
190,0.28,135,,,,
1599,0.53,749,,,,
1033,0.86,139,,,,
599,0.78,127,,,,
699,0.71,199,,,,
349,0.65,122,,,,
399,0.6,157,,,,
599,0.81,113,,,,
599,0.79,125,,,,
349,0.45,189,,,,
599,0.71,169,,,,
299,0.38,185,,,,
489,0.61,189,,,,
299,0.61,115,,,,
499,0.73,134,,,,
200,0.25,149,,,,
789,0.65,270,,,,
499,0.74,125,,,,
1000,0.85,143,,,,
499,0.68,159,,,,
999,0.7,299,,,,
200,0.32,135,,,,
595,0.76,137,,,,
599,0.5,299,,,,
499,0.74,129,,,,
449,0.72,125,,,,
425,0.35,275,,,,
499,0.7,145,,,,
299,0.6,119,,,,
489,0.7,145,,,,
599,0.78,126,,,,
299,0.58,124,,,,
625,0.52,298,,,,
625,0.8,122,,,,
499,0.71,141,,,,
419,0.31,289,,,,
499,0.72,135,,,,
399,0.68,125,,,,
489,0.61,189,,,,
449,0.39,271,,,,
399,0.68,127,,,,
596,0.78,126,,,,
499,0.73,130,,,,
499,0.73,130,,,,
599,0.78,126,,,,
299,0.44,166,,,,
349,0.42,199,,,,
499,0.69,150,,,,
299,0.57,127,,,,
449,0.6,178,,,,
499,0.72,135,,,,
649,0.77,145,,,,
320,0.62,121,,,,
366,0.63,134,,,,
399,0.66,134,,,,
499,0.69,150,,,,
499,0.52,237,,,,
499,0.74,126,,,,
499,0.72,139,,,,
299,0.42,171,,,,
300,0.62,113,,,,
346,0.52,165,,,,
489,0.67,158,,,,
599,0.79,120,,,,
399,0.65,136,,,,
499,0.68,155,,,,
199,0.36,126,,,,
599,0.77,135,,,,
499,0.74,127,,,,
499,0.74,127,,,,
699,0.82,125,,,,
499,0.67,163,,,,
399,0.67,128,,,,
499,0.72,139,,,,
499,0.68,155,,,,
2999,0.9,288,,,,
498,0.63,180,,,,
299,0.48,155,,,,
299,0.52,143,,,,
570,0.76,135,,,,
599,0.78,129,,,,
599,0.66,199,,,,
399,0.69,120,,,,
659,0.31,449,,,,
499,0.72,139,,,,
659,0.31,449,,,,
294,0.61,113,,,,
399,0.68,126,,,,
399,0.62,148,,,,
379,0.64,134,,,,
549,0.46,296,,,,
399,0.68,126,,,,
1599,0.71,452,,,,
359,0.63,130,,,,
499,0.75,122,,,,
499,0.72,135,,,,
299,0.58,125,,,,
363,0.66,120,,,,
399,0.5,199,,,,
699,0.82,120,,,,
499,0.75,121,,,,
549,0.75,135,,,,
999,0.85,149,,,,
399,0.7,118,,,,
599,0.79,122,,,,
599,0.8,115,,,,
418,0.73,109,,,,
599,0.79,122,,,,
590,0.72,162,,,,
598,0.76,138,,,,
399,0.65,136,,,,
799,0.5,399,,,,
259,0.23,199,,,,
599,0.78,127,,,,
499,0.51,242,,,,
599,0.78,128,,,,
599,0.77,134,,,,
599,0.78,126,,,,
349,0.42,199,,,,
299,0.43,170,,,,
299,0.52,142,,,,
600,0.79,121,,,,
595,0.76,137,,,,
349,0.42,199,,,,
421,0.59,171,,,,
495,0.39,299,,,,
599,0.71,169,,,,
1533,0.73,399,,,,
399,0.37,249,,,,
349,0.63,129,,,,
499,0.73,134,,,,
499,0.3,349,,,,
399,0.68,125,,,,
449,0.26,329,,,,
499,0.75,123,,,,
449,0.39,271,,,,
449,0.33,299,,,,
449,0.33,299,,,,
396,0.55,177,,,,
789,0.66,268,,,,
299,0.54,135,,,,
499,0.66,165,,,,
555,0.4,329,,,,
449,0.26,329,,,,
399,0.66,133,,,,
419,0.31,289,,,,
595,0.49,299,,,,
449,0.33,299,,,,
449,0.6,179,,,,
349,0.42,199,,,,
425,0.35,275,,,,
499,0.5,249,,,,
449,0.33,299,,,,
999,0.62,379,,,,
399,0.5,199,,,,
349,0.42,199,,,,
625,0.52,298,,,,
349,0.42,199,,,,
599,0.5,299,,,,
699,0.58,290,,,,
599,0.61,229,,,,
349,0.42,199,,,,
999,0.6,399,,,,
699,0.6,279,,,,
